Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Michael Nyman	1944		English	The Man Who Mistook His Wife for a Hat	minimalism	https://en.wikipedia.org/wiki/Michael_Nyman	87988.0
Wilhelm Furtwängler	1886	1954.0	German	Symphony No. 1 in B minor, Symphony No. 2 in E minor, Symphony No. 3 in C♯ minor, Piano Quintet, Religöser Hymnus, Te Deum for Choir and Orchestra	neoclassicism, folk-influenced, twelve-tone technique	https://en.wikipedia.org/wiki/Wilhelm_Furtw%C3%A4ngler	87943.0
Terry Riley	1935		American	In C	minimalism	https://en.wikipedia.org/wiki/Terry_Riley	85379.0
Leoš Janáček	1854	1928.0	Czech	Sinfonietta;Taras Bulba;Káťa Kabanová;The Cunning Little Vixen;The Makropoulos Affair;Glagolitic Mass, 2 string quartets	folk-influenced	https://en.wikipedia.org/wiki/Leo%C5%A1_Jan%C3%A1%C4%8Dek	84771.0
Lili Boulanger	1893	1918.0	French			https://en.wikipedia.org/wiki/Lili_Boulanger	84513.0
Jules Massenet	1842	1912.0	French	Piano Concerto;Le jongleur de Notre-Dame;Thérèse;Don Quichotte;Cigale		https://en.wikipedia.org/wiki/Jules_Massenet	84025.0
Pablo Casals	1876	1973.0	Spanish			https://en.wikipedia.org/wiki/Pablo_Casals	83180.0
John Rutter	1945		English	choral music		https://en.wikipedia.org/wiki/John_Rutter	82415.0
Engelbert Humperdinck	1854	1921.0	German			https://en.wikipedia.org/wiki/Engelbert_Humperdinck_(composer)	82316.0
Agustín Lara	1897	1970.0	Mexican	Granada		https://en.wikipedia.org/wiki/Agust%C3%ADn_Lara	82254.0
Amy Beach	1867	1944.0	American			https://en.wikipedia.org/wiki/Amy_Beach	80289.0
Harrison Birtwistle	1934	2022.0	English	The Mask of Orpheus(opera),Silbury Air		https://en.wikipedia.org/wiki/Harrison_Birtwistle	79839.0
Francisco Tárrega	1852	1909.0	Spanish			https://en.wikipedia.org/wiki/Francisco_T%C3%A1rrega	79536.0
Anne Dudley	1956		English			https://en.wikipedia.org/wiki/Anne_Dudley	78187.0
Heitor Villa-Lobos	1887	1959.0	Brazilian	Chôros;Bachianas brasileiras;Magdalena: a Musical Adventure;Rudepoêma;	neoclassicism, folk-influenced	https://en.wikipedia.org/wiki/Heitor_Villa-Lobos	76327.0
George Enescu	1881	1955.0	Romanian	"Romanian Rhapsody No. 1,Sonata No. 3 for Violin and Piano (""In the Romanian Popular Style""),Octet for Strings,String Quartet No. 2,Œdip(opera),Cantabile et Prestofor flute and piano"	folk-influenced; father of Romanian classical music	https://en.wikipedia.org/wiki/George_Enescu	76316.0
Frederick Delius	1862	1934.0	English	A Village Romeo and Juliet;On Hearing the First Cuckoo in Spring	impressionism	https://en.wikipedia.org/wiki/Frederick_Delius	75521.0
Max Bruch	1838	1920.0	German	Concerto for Clarinet, Viola, and Orchestrain E minor, Op. 88	Romanticism	https://en.wikipedia.org/wiki/Max_Bruch	75444.0
George Antheil	1900	1959.0	American	Ballet mécanique; Symphony No. 4	avant-garde,modernism, laterneoclassical	https://en.wikipedia.org/wiki/George_Antheil	74446.0
Nicanor Abelardo	1893	1934.0	Filipino	Piano Concerto in B-flat minor		https://en.wikipedia.org/wiki/Nicanor_Abelardo	73135.0
Fritz Kreisler	1875	1962.0	Austrian	Caprice Viennois;Liebesfreud;Liebesleid;Schön Rosmarin		https://en.wikipedia.org/wiki/Fritz_Kreisler	72833.0
La Monte Young	1935		American	The Well-Tuned Piano	minimalism,microtonal music,improvisation, Asian-music influence	https://en.wikipedia.org/wiki/La_Monte_Young	71843.0
William Walton	1902	1983.0	English	Symphony No. 1;Violin Concerto;Viola Concerto;Variations on a Theme by Hindemith;Belshazzar's Feast(oratorio)	avant-garde(early),neoromantic,neoclassical; also a composer of film music	https://en.wikipedia.org/wiki/William_Walton	71604.0
Mykola Leontovych	1877	1921.0	Ukrainian	Shchedryk, Church music, Arrangements of folk songs	A capellachoral music	https://en.wikipedia.org/wiki/Mykola_Leontovych	70840.0
Isaac Albéniz	1860	1909.0	Spanish	Iberia	Romanticism	https://en.wikipedia.org/wiki/Isaac_Alb%C3%A9niz	69643.0
Michael Abels	1962		American	Global Warming		https://en.wikipedia.org/wiki/Michael_Abels	69181.0
Ethel Smyth	1858	1944.0	English			https://en.wikipedia.org/wiki/Ethel_Smyth	68687.0
Hubert Parry	1848	1918.0	English	Jerusalem		https://en.wikipedia.org/wiki/Hubert_Parry	68098.0
Alfred Schnittke	1934	1998.0	Russian	10 symphonies, notably theFirst Symphony(1969–1972), theThird(1981),Fourth(1984), andFifth(1988) Symphonies;Concerto for Piano and String Orchestra(1979	polystylism	https://en.wikipedia.org/wiki/Alfred_Schnittke	66268.0
John Tavener	1944	2013.0	English		holy minimalism	https://en.wikipedia.org/wiki/John_Tavener	66189.0
Zoltán Kodály	1882	1967.0	Hungarian	Háry János;Székelyfonó;Psalmus Hungaricus	folk-influenced	https://en.wikipedia.org/wiki/Zolt%C3%A1n_Kod%C3%A1ly	65686.0
Tania León	1943		Cuban			https://en.wikipedia.org/wiki/Tania_Le%C3%B3n	65115.0
Miklós Rózsa	1907	1995.0	Hungarian		folk-influenced	https://en.wikipedia.org/wiki/Mikl%C3%B3s_R%C3%B3zsa	65040.0
Eric Whitacre	1970		American	Cloudburst,Lux Aurumque,Water Night	choral music	https://en.wikipedia.org/wiki/Eric_Whitacre	64699.0
Lucrecia Roces Kasilag	1918	2008.0	Filipino			https://en.wikipedia.org/wiki/Lucrecia_Roces_Kasilag	64477.0
Joaquín Rodrigo	1901	1999.0	Spanish	Concierto de Aranjuez; guitar music	neoclassical,folk musicinfluence	https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Rodrigo	63711.0
Angela Morley	1924	2009.0	English			https://en.wikipedia.org/wiki/Angela_Morley	63452.0
Antonio Molina	1894	1980.0	Filipino			https://en.wikipedia.org/wiki/Antonio_Molina_(composer)	62307.0
Lucio San Pedro	1913	2002.0	Filipino			https://en.wikipedia.org/wiki/Lucio_San_Pedro	62087.0
Gian Carlo Menotti	1911	2007.0	Italian	The Medium;The Consul;Amahl and the Night Visitors		https://en.wikipedia.org/wiki/Gian_Carlo_Menotti	62062.0
Carl Nielsen	1865	1931.0	Danish	Symphony No. 4;No. 5;Maskarade;Clarinet Concerto		https://en.wikipedia.org/wiki/Carl_Nielsen	60975.0
Morton Feldman	1926	1987.0	American	Rothko Chapel, String Quartet No. 2		https://en.wikipedia.org/wiki/Morton_Feldman	60740.0
Esa-Pekka Salonen	1958		Finnish	LA Variations;Insomnia		https://en.wikipedia.org/wiki/Esa-Pekka_Salonen	60670.0
Manuel de Falla	1876	1946.0	Spanish	The Three-Cornered Hat;Nights in the Gardens of Spain	impressionism,neoclassicism	https://en.wikipedia.org/wiki/Manuel_de_Falla	60269.0
Darius Milhaud	1892	1974.0	French	La Création du Monde;Le Bœuf sur le toit	jazz-influenced,neoclassical,polytonal	https://en.wikipedia.org/wiki/Darius_Milhaud	59987.0
Suzanne Ciani	1946		American		electronic music	https://en.wikipedia.org/wiki/Suzanne_Ciani	59663.0
