Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Pavel Chesnokov	1877	1944.0	Russian			https://en.wikipedia.org/wiki/Pavel_Chesnokov	16000.0
Giuseppe Sinopoli	1946	2001.0	Italian			https://en.wikipedia.org/wiki/Giuseppe_Sinopoli	15986.0
Robert Russell Bennett	1894	1981.0	American	Broadway arrangements; pieces for band		https://en.wikipedia.org/wiki/Robert_Russell_Bennett	15971.0
David Popper	1843	1913.0	Czech			https://en.wikipedia.org/wiki/David_Popper	15959.0
Ismail Marzuki	1914	1958.0	Indonesian			https://en.wikipedia.org/wiki/Ismail_Marzuki	15923.0
Jerome Moross	1913	1983.0	American			https://en.wikipedia.org/wiki/Jerome_Moross	15881.0
Arno Babajanian	1921	1983.0	Armenian			https://en.wikipedia.org/wiki/Arno_Babajanian	15879.0
Peter Sculthorpe	1929	2014.0	Australian	Requiem;Kakadu;Earth Cry;Rites of Passage		https://en.wikipedia.org/wiki/Peter_Sculthorpe	15855.0
Heinz Werner Zimmermann	1930	2022.0	German			https://en.wikipedia.org/wiki/Heinz_Werner_Zimmermann	15829.0
David Bedford	1937	2011.0	British			https://en.wikipedia.org/wiki/David_Bedford	15826.0
Doris Akers	1923	1995.0	American			https://en.wikipedia.org/wiki/Doris_Akers	15809.0
Gordon Jacob	1895	1984.0	English			https://en.wikipedia.org/wiki/Gordon_Jacob	15792.0
Dane Rudhyar	1895	1985.0	French			https://en.wikipedia.org/wiki/Dane_Rudhyar	15694.0
Christopher Rouse	1949	2019.0	American	Karolju;Phantasmata;Trombone Concerto;Symphony No. 1;Symphony No. 2		https://en.wikipedia.org/wiki/Christopher_Rouse_(composer)	15676.0
Granville Bantock	1868	1946.0	British	Omar Khayyám,Hebridean Symphony	Romanticism, often with anexoticflavour	https://en.wikipedia.org/wiki/Granville_Bantock	15645.0
Elena Kats-Chernin	1957		Australian			https://en.wikipedia.org/wiki/Elena_Kats-Chernin	15589.0
Rued Langgaard	1893	1952.0	Danish	16 symphonies,The Music of the Spheres,Antikrist		https://en.wikipedia.org/wiki/Rued_Langgaard	15580.0
James Tenney	1934	2006.0	American			https://en.wikipedia.org/wiki/James_Tenney	15502.0
Luc Ferrari	1929	2005.0	French	"Presque rien No. 1: ""Le Lever du jour au bord de la mer"""	electronic music	https://en.wikipedia.org/wiki/Luc_Ferrari	15474.0
Jon Appleton	1939	2022.0	American			https://en.wikipedia.org/wiki/Jon_Appleton	15399.0
Samuel Adler	1928		American (German-born)			https://en.wikipedia.org/wiki/Samuel_Adler_(composer)	15395.0
Anthony Davis	1951		American			https://en.wikipedia.org/wiki/Anthony_Davis_(composer)	15357.0
Chen Yi	1953		Chinese			https://en.wikipedia.org/wiki/Chen_Yi_(composer)	15340.0
Walter Damrosch	1862	1950.0	German-born American	Sonata for violin and piano		https://en.wikipedia.org/wiki/Walter_Damrosch	15333.0
John Serry Sr.	1915	2003.0	American	American Rhapsody;Concerto for Free Bass Accordion	symphonic jazzinfluenced	https://en.wikipedia.org/wiki/John_Serry_Sr.	15298.0
Roger Sessions	1896	1985.0	American	9 symphonies,Violin Concerto,Montezuma	neoclassicism,twelve-tone technique	https://en.wikipedia.org/wiki/Roger_Sessions	15287.0
Viktor Ullmann	1898	1944.0	Austrian			https://en.wikipedia.org/wiki/Viktor_Ullmann	15216.0
Xu Yi	1967		Chinese			https://en.wikipedia.org/wiki/Xu_Yi	15153.0
Paolo Tosti	1846	1916.0	Italian			https://en.wikipedia.org/wiki/Paolo_Tosti	15135.0
Fumio Hayasaka	1914	1955.0	Japanese			https://en.wikipedia.org/wiki/Fumio_Hayasaka	15135.0
Roger Reynolds	1934		American			https://en.wikipedia.org/wiki/Roger_Reynolds	15104.0
Per Nørgård	1932		Danish	Voyage into the Golden Screen		https://en.wikipedia.org/wiki/Per_N%C3%B8rg%C3%A5rd	15046.0
Heinz Holliger	1939		Swiss	Schneewittchen		https://en.wikipedia.org/wiki/Heinz_Holliger	15030.0
Leon Schidlowsky	1931	2022.0	Chilean-Israeli			https://en.wikipedia.org/wiki/Leon_Schidlowsky	15029.0
Bruno Maderna	1920	1973.0	Italian	Satyricon	avant-garde,electronic music	https://en.wikipedia.org/wiki/Bruno_Maderna	15014.0
Jean Françaix	1912	1997.0	French	Clarinet Concerto;Two-Piano Concerto	neoclassicism	https://en.wikipedia.org/wiki/Jean_Fran%C3%A7aix	14972.0
Kurt Atterberg	1887	1974.0	Swedish	"Symphony No. 6 ""Dollar Symphony"""		https://en.wikipedia.org/wiki/Kurt_Atterberg	14880.0
Chiquinha Gonzaga	1847	1935.0	Brazilian			https://en.wikipedia.org/wiki/Chiquinha_Gonzaga	14813.0
David Tudor	1926	1996.0	American			https://en.wikipedia.org/wiki/David_Tudor	14813.0
Florent Schmitt	1870	1958.0	French	La Tragédie de Salomé		https://en.wikipedia.org/wiki/Florent_Schmitt	14737.0
Sérgio Assad	1952		Brazilian			https://en.wikipedia.org/wiki/S%C3%A9rgio_Assad	14639.0
Geoffrey Burgon	1941	2010.0	British	Magnificat and Nunc Dimittis;Monty Python's Life of Brian(film score)		https://en.wikipedia.org/wiki/Geoffrey_Burgon	14623.0
Mel Powell	1923	1998.0	American			https://en.wikipedia.org/wiki/Mel_Powell	14601.0
Mieczysław Karłowicz	1876	1909.0	Polish	Lithuanian Rhapsody,Stanislaw i Anna Oświęcimovie,Smutna opowieść; Symphony in E Minor; Violin Concerto	Romanticism	https://en.wikipedia.org/wiki/Mieczys%C5%82aw_Kar%C5%82owicz	14544.0
Roy Harris	1898	1979.0	American	Symphony No. 3	neotonality	https://en.wikipedia.org/wiki/Roy_Harris	14533.0
Cyril Scott	1879	1970.0	English			https://en.wikipedia.org/wiki/Cyril_Scott	14494.0
Joan Tower	1938		American	Petroushskates;Concerto for Orchestra;Sequoia;Fanfare for the Uncommon Woman		https://en.wikipedia.org/wiki/Joan_Tower	14397.0
Bob Chilcott	1955		British	Choral music		https://en.wikipedia.org/wiki/Bob_Chilcott	14386.0
Eugène Bozza	1905	1991.0	French			https://en.wikipedia.org/wiki/Eug%C3%A8ne_Bozza	14347.0
Ossip Gabrilowitsch	1878	1936.0	Russian-born American			https://en.wikipedia.org/wiki/Ossip_Gabrilowitsch	14324.0
Edmund Rubbra	1901	1986.0	English			https://en.wikipedia.org/wiki/Edmund_Rubbra	14311.0
Earl Wild	1915	2010.0	American			https://en.wikipedia.org/wiki/Earl_Wild	14297.0
Roland Dyens	1955	2016.0	Tunisian-French			https://en.wikipedia.org/wiki/Roland_Dyens	14176.0
Nie Er	1912	1935.0	Chinese		folk-influenced	https://en.wikipedia.org/wiki/Nie_Er	14152.0
Alan Bush	1900	1995.0	English			https://en.wikipedia.org/wiki/Alan_Bush	14133.0
Alexander Gretchaninov	1864	1956.0	Russian			https://en.wikipedia.org/wiki/Alexander_Gretchaninov	14129.0
Maryanne Amacher	1938	2009.0	American			https://en.wikipedia.org/wiki/Maryanne_Amacher	13956.0
George Whitefield Chadwick	1854	1931.0	American			https://en.wikipedia.org/wiki/George_Whitefield_Chadwick	13951.0
Elisabeth Lutyens	1906	1983.0	English			https://en.wikipedia.org/wiki/Elisabeth_Lutyens	13933.0
Lennox Berkeley	1903	1989.0	English	Horn Trio	neoclassical, laterserial	https://en.wikipedia.org/wiki/Lennox_Berkeley	13915.0
Wilhelm Stenhammar	1871	1927.0	Swedish	Symphony No. 2	Romanticism	https://en.wikipedia.org/wiki/Wilhelm_Stenhammar	13895.0
Théodore Dubois	1837	1924.0	French			https://en.wikipedia.org/wiki/Th%C3%A9odore_Dubois	13890.0
Alexandre Tansman	1897	1986.0	French (Polish-born)			https://en.wikipedia.org/wiki/Alexandre_Tansman	13761.0
Christian Sinding	1856	1941.0	Norwegian		Romanticism	https://en.wikipedia.org/wiki/Christian_Sinding	13734.0
Mark-Anthony Turnage	1960		English	Greek;From All Sides;Mambo, Blue and Tarantella(violin concerto);From the Wreckage(trumpet concerto);Fractured Lines(percussion concerto);Five Views of a Mouth(flute concerto);A Fast Stomp		https://en.wikipedia.org/wiki/Mark-Anthony_Turnage	13668.0
Henri Duparc	1848	1933.0	French			https://en.wikipedia.org/wiki/Henri_Duparc_(composer)	13578.0
José Antonio Abreu	1939	2018.0	Venezuelan			https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Abreu	13569.0
Sergei Lyapunov	1859	1924.0	Russian			https://en.wikipedia.org/wiki/Sergei_Lyapunov	13555.0
Alfred Reed	1921	2005.0	American			https://en.wikipedia.org/wiki/Alfred_Reed	13548.0
Hans Abrahamsen	1952		Danish			https://en.wikipedia.org/wiki/Hans_Abrahamsen	13513.0
Rhys Chatham	1952		American		avant-garde, minimalism	https://en.wikipedia.org/wiki/Rhys_Chatham	13510.0
Gabriel Pierné	1863	1937.0	French	Cydalise et le Chèvre-pied;Ramuntcho		https://en.wikipedia.org/wiki/Gabriel_Piern%C3%A9	13501.0
Ariel Ramírez	1921	2010.0	Argentine	Misa Criolla(1964)		https://en.wikipedia.org/wiki/Ariel_Ram%C3%ADrez	13452.0
Ahn Eak-tai	1906	1965.0	Korean	Aegukga		https://en.wikipedia.org/wiki/Ahn_Eak-tai	13434.0
Michael Daugherty	1954		American	UFO		https://en.wikipedia.org/wiki/Michael_Daugherty	13386.0
Daniel Alomía Robles	1871	1942.0	Peruvian			https://en.wikipedia.org/wiki/Daniel_Alom%C3%ADa_Robles	13319.0
Joseph Canteloube	1879	1957.0	French	Chants d'Auvergne		https://en.wikipedia.org/wiki/Joseph_Canteloube	13311.0
Peer Raben	1940	2007.0	German			https://en.wikipedia.org/wiki/Peer_Raben	13244.0
Pavel Haas	1899	1944.0	Czech			https://en.wikipedia.org/wiki/Pavel_Haas	13227.0
Yasushi Akutagawa	1925	1989.0	Japanese	Rapsodia per orchestra (1971)	atonality	https://en.wikipedia.org/wiki/Yasushi_Akutagawa	13207.0
Tobias Picker	1954		American			https://en.wikipedia.org/wiki/Tobias_Picker	13195.0
Grace Williams	1906	1977.0	Welsh			https://en.wikipedia.org/wiki/Grace_Williams	13182.0
Frederic Austin	1872	1952.0	English	Symphony in E minor		https://en.wikipedia.org/wiki/Frederic_Austin	13174.0
Malcolm Williamson	1931	2003.0	Australian	Mass of Christ the King;The Dawn is at Hand; 7 numbered symphonies; cassations		https://en.wikipedia.org/wiki/Malcolm_Williamson	13153.0
David Cope	1941		American			https://en.wikipedia.org/wiki/David_Cope	13149.0
Ernest John Moeran	1894	1950.0	English	Symphony in G minor	folk-influenced	https://en.wikipedia.org/wiki/Ernest_John_Moeran	13129.0
Nigel Westlake	1958		Australian			https://en.wikipedia.org/wiki/Nigel_Westlake	13118.0
Magnus Lindberg	1958		Finnish	Kraft; Clarinet Concerto		https://en.wikipedia.org/wiki/Magnus_Lindberg	13075.0
Karl Goldmark	1830	1915.0	Hungarian	Ein Wintermärchen;Aus Jugendtagen		https://en.wikipedia.org/wiki/Karl_Goldmark	13074.0
Norman Dello Joio	1913	2008.0	American			https://en.wikipedia.org/wiki/Norman_Dello_Joio	13036.0
Muhal Richard Abrams	1930	2017.0	American			https://en.wikipedia.org/wiki/Muhal_Richard_Abrams	12958.0
James Scott	1885	1938.0	American		ragtime	https://en.wikipedia.org/wiki/James_Scott_(composer)	12915.0
Libby Larsen	1950		American	Marimba Concerto		https://en.wikipedia.org/wiki/Libby_Larsen	12826.0
Edison Denisov	1929	1996.0	Russian	L'écume des jours (opera), Requiem, 2 Symphonies, Violin Concerto, Flute Concerto	avant-garde,serialism,extended technique,polystylism,electronic music	https://en.wikipedia.org/wiki/Edison_Denisov	12743.0
Robert Stolz	1880	1975.0	Austrian			https://en.wikipedia.org/wiki/Robert_Stolz	12729.0
Healey Willan	1880	1968.0	English			https://en.wikipedia.org/wiki/Healey_Willan	12723.0
Alexander Arutiunian	1920	2012.0	Armenian	Trumpet Concerto in A-flat major	avant-garde	https://en.wikipedia.org/wiki/Alexander_Arutiunian	12707.0
Oliver Knussen	1952	2018.0	British	Where the Wild Things Are		https://en.wikipedia.org/wiki/Oliver_Knussen	12690.0
Carlisle Floyd	1926	2021.0	American	Susannah;Wuthering Heights;Of Mice and Men		https://en.wikipedia.org/wiki/Carlisle_Floyd	12687.0
Sigfrid Karg-Elert	1877	1933.0	German	66 Choral-Improvisationenfor organ, Op. 65		https://en.wikipedia.org/wiki/Sigfrid_Karg-Elert	12672.0
Stephen Oliver	1950	1992.0	English			https://en.wikipedia.org/wiki/Stephen_Oliver_(composer)	12637.0
Francesco Cilea	1866	1950.0	Italian	L'arlesiana;Adriana Lecouvreur		https://en.wikipedia.org/wiki/Francesco_Cilea	12597.0
Oscar van Dillen	1958		Dutch			https://en.wikipedia.org/wiki/Oscar_van_Dillen	12597.0
Jean Barraqué	1928	1973.0	French	Piano Sonata,Chant après chant	serialism	https://en.wikipedia.org/wiki/Jean_Barraqu%C3%A9	12580.0
Tikhon Khrennikov	1913	2007.0	Russian			https://en.wikipedia.org/wiki/Tikhon_Khrennikov	12556.0
Bright Sheng	1955		Chinese	The Silver River	Folk-influenced	https://en.wikipedia.org/wiki/Bright_Sheng	12554.0
Robert Fuchs	1847	1927.0	Austrian	Symphony No. 3 in E major, Op. 79; Clarinet Quintet in E♭major, Op. 102		https://en.wikipedia.org/wiki/Robert_Fuchs	12550.0
Ermanno Wolf-Ferrari	1876	1948.0	Italian		Comic operas	https://en.wikipedia.org/wiki/Ermanno_Wolf-Ferrari	12516.0
Tristan Murail	1947		French	Gondwana	spectral music	https://en.wikipedia.org/wiki/Tristan_Murail	12485.0
Vítězslava Kaprálová	1915	1940.0	Czech	Military Sinfonietta, Op. 11; Partita for Piano and Strings, Op. 20		https://en.wikipedia.org/wiki/V%C3%ADt%C4%9Bzslava_Kapr%C3%A1lov%C3%A1	12403.0
Alec Wilder	1907	1980.0	American			https://en.wikipedia.org/wiki/Alec_Wilder	12371.0
Morris Pert	1947	2010.0	Scottish			https://en.wikipedia.org/wiki/Morris_Pert	12340.0
Ernst Toch	1887	1964.0	German	7 symphonies		https://en.wikipedia.org/wiki/Ernst_Toch	12334.0
Allan Pettersson	1911	1980.0	Swedish	Barefoot Songs;Symphony No. 9		https://en.wikipedia.org/wiki/Allan_Pettersson	12308.0
Arthur Benjamin	1893	1960.0	Australian	Jamaican Rhumba		https://en.wikipedia.org/wiki/Arthur_Benjamin	12238.0
Loris Tjeknavorian	1937		Armenian-Iranian			https://en.wikipedia.org/wiki/Loris_Tjeknavorian	12220.0
Michael Berkeley	1948		English			https://en.wikipedia.org/wiki/Michael_Berkeley	12218.0
Hanna Havrylets	1958	2022.0	Ukrainian			https://en.wikipedia.org/wiki/Hanna_Havrylets	12217.0
Alexander Mosolov	1900	1973.0	Russian	Iron Foundry	avant-garde	https://en.wikipedia.org/wiki/Alexander_Mosolov	12215.0
Alexander Goehr	1932		English	Arianna	twelve-tone, latermodal,eclectic	https://en.wikipedia.org/wiki/Alexander_Goehr	12194.0
John Harbison	1938		American	The Great Gatsby	Neoconservative postmodernism	https://en.wikipedia.org/wiki/John_Harbison	12187.0
Michael Finnissy	1946		English			https://en.wikipedia.org/wiki/Michael_Finnissy	12153.0
Eugen d'Albert	1864	1932.0	German, Swiss; Scottish-born	Tiefland	Romanticism	https://en.wikipedia.org/wiki/Eugen_d%27Albert	12150.0
Alexander Tcherepnin	1899	1977.0	Russian			https://en.wikipedia.org/wiki/Alexander_Tcherepnin	12147.0
Thea Musgrave	1928		Scottish			https://en.wikipedia.org/wiki/Thea_Musgrave	12120.0
André Jolivet	1905	1974.0	French	Flute Concerto No. 1		https://en.wikipedia.org/wiki/Andr%C3%A9_Jolivet	12107.0
Johan Svendsen	1840	1911.0	Norwegian			https://en.wikipedia.org/wiki/Johan_Svendsen	12089.0
Karel Husa	1921	2016.0	Czech-American	Music for Prague 1968; Music for Band, Orchestra, Chamber Ensembles		https://en.wikipedia.org/wiki/Karel_Husa	12080.0
Olga Neuwirth	1968		Austrian		avant-garde	https://en.wikipedia.org/wiki/Olga_Neuwirth	12080.0
José Pablo Moncayo	1912	1958.0	Mexican	Huapango		https://en.wikipedia.org/wiki/Jos%C3%A9_Pablo_Moncayo	12040.0
Hikari Ōe	1963		Japanese			https://en.wikipedia.org/wiki/Hikari_%C5%8Ce	12036.0
Felix Blumenfeld	1863	1931.0	Russian			https://en.wikipedia.org/wiki/Felix_Blumenfeld	12031.0
Derek Bell	1935	2002.0	Irish			https://en.wikipedia.org/wiki/Derek_Bell_(musician)	12003.0
Xian Xinghai	1905	1945.0	Chinese	Yellow River Cantata		https://en.wikipedia.org/wiki/Xian_Xinghai	11926.0
Johann Strauss III	1866	1939.0	Austrian			https://en.wikipedia.org/wiki/Johann_Strauss_III	11876.0
Jonathan Harvey	1939	2012.0	English	Mortuos Plango Vivos Voco;Advaya;Bhakti;Wheel of Emptiness	spectralism	https://en.wikipedia.org/wiki/Jonathan_Harvey_(composer)	11855.0
Gottfried Michael Koenig	1926	2021.0	German-Dutch	Project 1	computer music, electronic music	https://en.wikipedia.org/wiki/Gottfried_Michael_Koenig	11846.0
Shinkichi Mitsumune	1963		Japanese			https://en.wikipedia.org/wiki/Shinkichi_Mitsumune	11841.0
Robert Farnon	1917	2005.0	Canadian		light music	https://en.wikipedia.org/wiki/Robert_Farnon	11825.0
Vladimir Martynov	1946		Russian		minimalism	https://en.wikipedia.org/wiki/Vladimir_Martynov	11806.0
Michael Gordon	1956		American			https://en.wikipedia.org/wiki/Michael_Gordon_(composer)	11805.0
Leevi Madetoja	1887	1947.0	Finnish	Symphony No. 1(1916),Symphony No. 2(1918),Symphony No. 3(1926), the operaThe Ostrobothnians(1923), the ballet-pantomimeOkon Fuoko(1927), andElegia(1909).	Student ofJean Sibelius, 1908–10.	https://en.wikipedia.org/wiki/Leevi_Madetoja	11741.0
Josef Matthias Hauer	1883	1959.0	Austrian			https://en.wikipedia.org/wiki/Josef_Matthias_Hauer	11729.0
Fikret Amirov	1922	1984.0	Azerbaijani			https://en.wikipedia.org/wiki/Fikret_Amirov	11704.0
Andrzej Panufnik	1914	1991.0	Polish	10 symphonies		https://en.wikipedia.org/wiki/Andrzej_Panufnik	11698.0
Vladimír Franz	1959		Czech			https://en.wikipedia.org/wiki/Vladim%C3%ADr_Franz	11655.0
Richard Hageman	1881	1966.0	Dutch-born American			https://en.wikipedia.org/wiki/Richard_Hageman	11643.0
Elizabeth Maconchy	1907	1994.0	English	Quintet for oboe and strings; 13 string quartets		https://en.wikipedia.org/wiki/Elizabeth_Maconchy	11564.0
Karl King	1891	1971.0	American	"""Barnum and Bailey's Favorite"""	Marches	https://en.wikipedia.org/wiki/Karl_King	11563.0
Gian Francesco Malipiero	1882	1973.0	Italian			https://en.wikipedia.org/wiki/Gian_Francesco_Malipiero	11553.0
Salvatore Sciarrino	1947		Italian			https://en.wikipedia.org/wiki/Salvatore_Sciarrino	11535.0
Bernard Parmegiani	1927	2013.0	French		electronic or acousmatic music	https://en.wikipedia.org/wiki/Bernard_Parmegiani	11398.0
Angelo Gilardino	1941	2022.0	Italian			https://en.wikipedia.org/wiki/Angelo_Gilardino	11377.0
Coleridge-Taylor Perkinson	1932	2004.0	American			https://en.wikipedia.org/wiki/Coleridge-Taylor_Perkinson	11354.0
Jean Langlais	1907	1991.0	French			https://en.wikipedia.org/wiki/Jean_Langlais	11254.0
Isaak Dunayevsky	1900	1955.0	Russian			https://en.wikipedia.org/wiki/Isaak_Dunayevsky	11245.0
Jake Heggie	1961		American	Dead Man Walking		https://en.wikipedia.org/wiki/Jake_Heggie	11241.0
Vladimir Ussachevsky	1911	1990.0	American			https://en.wikipedia.org/wiki/Vladimir_Ussachevsky	11220.0
Randall Thompson	1899	1984.0	American	Alleluia;The Testament of Freedom		https://en.wikipedia.org/wiki/Randall_Thompson	11185.0
Ildebrando Pizzetti	1880	1968.0	Italian	Assassinio nella cattedrale		https://en.wikipedia.org/wiki/Ildebrando_Pizzetti	11172.0
Carl Ruggles	1876	1971.0	American	Sun-Treader		https://en.wikipedia.org/wiki/Carl_Ruggles	11164.0
Julian Scriabin	1908	1919.0	Russian			https://en.wikipedia.org/wiki/Julian_Scriabin	11148.0
Edward German	1862	1936.0	English	Merrie England;A Princess of Kensington;Tom Jones		https://en.wikipedia.org/wiki/Edward_German	11111.0
Carrie Jacobs-Bond	1862	1946.0	American	"""I Love You Truly"""		https://en.wikipedia.org/wiki/Carrie_Jacobs-Bond	11078.0
William Mathias	1934	1992.0	Welsh	Let the people praise Thee, O God		https://en.wikipedia.org/wiki/William_Mathias	11000.0
George Rochberg	1918	2005.0	American		serialism, laterNeoromanticism	https://en.wikipedia.org/wiki/George_Rochberg	10995.0
Péter Eötvös	1944		Hungarian	Love and Other Demons	eclectic,extended technique,electronic music, folk-music influence	https://en.wikipedia.org/wiki/P%C3%A9ter_E%C3%B6tv%C3%B6s	10947.0
Riccardo Drigo	1846	1930.0	Italian			https://en.wikipedia.org/wiki/Riccardo_Drigo	10944.0
Nigel Butterley	1935	2022.0	Australian			https://en.wikipedia.org/wiki/Nigel_Butterley	10941.0
Nikos Skalkottas	1904	1949.0	Greek	36 Greek Dancesfor orchestra; Violin Concerto	twelve-tone,folk musicinfluence,modernism	https://en.wikipedia.org/wiki/Nikos_Skalkottas	10877.0
Hans Gál	1890	1987.0	Austrian			https://en.wikipedia.org/wiki/Hans_G%C3%A1l	10872.0
Masamichi Amano	1957		Japanese			https://en.wikipedia.org/wiki/Masamichi_Amano	10869.0
Julian Anderson	1967		British			https://en.wikipedia.org/wiki/Julian_Anderson	10850.0
David Bruce	1970		British-American			https://en.wikipedia.org/wiki/David_Bruce_(composer)	10813.0
Nikolai Roslavets	1881	1944.0	Russian			https://en.wikipedia.org/wiki/Nikolai_Roslavets	10806.0
Toshiro Mayuzumi	1929	1997.0	Japanese			https://en.wikipedia.org/wiki/Toshiro_Mayuzumi	10760.0
Paul Creston	1906	1985.0	American		neoclassical	https://en.wikipedia.org/wiki/Paul_Creston	10759.0
Paul Ben-Haim	1897	1984.0	Israeli			https://en.wikipedia.org/wiki/Paul_Ben-Haim	10712.0
Daniel Roth	1942		French			https://en.wikipedia.org/wiki/Daniel_Roth_(organist)	10667.0
Lev Knipper	1898	1974.0	Russian			https://en.wikipedia.org/wiki/Lev_Knipper	10660.0
Samuil Feinberg	1890	1962.0	Russian and Soviet			https://en.wikipedia.org/wiki/Samuil_Feinberg	10656.0
Christian Lindberg	1958		Swedish	Arabenne,Mandrake in the Corner		https://en.wikipedia.org/wiki/Christian_Lindberg	10619.0
Hamilton Harty	1879	1941.0	Irish	An Irish Symphony;With the Wild Geese		https://en.wikipedia.org/wiki/Hamilton_Harty	10588.0
Antonio Lauro	1917	1986.0	Venezuelan		guitar music	https://en.wikipedia.org/wiki/Antonio_Lauro	10579.0
Oscar Straus	1870	1954.0	Austrian	Ein Walzertraum;The Chocolate Soldier		https://en.wikipedia.org/wiki/Oscar_Straus_(composer)	10556.0
Mladen Milicevic	1958		Bosnian/American	cl?– for prepared clarinet and electronics (1985)	experimental music,sound installation, andfilm music	https://en.wikipedia.org/wiki/Mladen_Milicevic	10555.0
York Bowen	1884	1961.0	English			https://en.wikipedia.org/wiki/York_Bowen	10553.0
Eduardo di Capua	1865	1917.0	Italian			https://en.wikipedia.org/wiki/Eduardo_di_Capua	10544.0
Erica Muhl	1961		American	Consolation		https://en.wikipedia.org/wiki/Erica_Muhl	10496.0
Jun Miyake	1958		Japanese			https://en.wikipedia.org/wiki/Jun_Miyake	10482.0
Karl Amadeus Hartmann	1905	1963.0	German	Concerto funebre;Gesangsszene;Symphony No. 1;Symphony No. 4		https://en.wikipedia.org/wiki/Karl_Amadeus_Hartmann	10476.0
Oskar Rieding	1840	1918.0	German			https://en.wikipedia.org/wiki/Oskar_Rieding	10404.0
Lars-Erik Larsson	1908	1986.0	Swedish			https://en.wikipedia.org/wiki/Lars-Erik_Larsson	10384.0
Jacques Calonne	1930	2022.0	Belgian			https://en.wikipedia.org/wiki/Jacques_Calonne	10367.0
Lyell Cresswell	1944		New Zealander			https://en.wikipedia.org/wiki/Lyell_Cresswell	10357.0
Vítězslav Novák	1870	1949.0	Czech			https://en.wikipedia.org/wiki/V%C3%ADt%C4%9Bzslav_Nov%C3%A1k	10325.0
Egon Wellesz	1885	1974.0	Austrian	Nine symphonies		https://en.wikipedia.org/wiki/Egon_Wellesz	10317.0
Ayo Bankole	1935	1976.0	Nigerian			https://en.wikipedia.org/wiki/Ayo_Bankole	10310.0
Eduard Tubin	1905	1982.0	Estonian	11 symphonies		https://en.wikipedia.org/wiki/Eduard_Tubin	10310.0
Vladimir Vavilov	1925	1973.0	Russian			https://en.wikipedia.org/wiki/Vladimir_Vavilov_(composer)	10307.0
Luigi Denza	1846	1922.0	Italian			https://en.wikipedia.org/wiki/Luigi_Denza	10295.0
Keiko Abe	1937		Japanese			https://en.wikipedia.org/wiki/Keiko_Abe	10270.0
Walford Davies	1869	1941.0	British			https://en.wikipedia.org/wiki/Walford_Davies	10255.0
Mikhail Ippolitov-Ivanov	1859	1935.0	Russian			https://en.wikipedia.org/wiki/Mikhail_Ippolitov-Ivanov	10209.0
Julius Röntgen	1855	1932.0	German			https://en.wikipedia.org/wiki/Julius_R%C3%B6ntgen	10208.0
Carl Vine	1954		Australian			https://en.wikipedia.org/wiki/Carl_Vine	10205.0
Yoshino Aoki	1971		Japanese			https://en.wikipedia.org/wiki/Yoshino_Aoki	10120.0
Othmar Schoeck	1886	1957.0	Swiss	Penthesilea		https://en.wikipedia.org/wiki/Othmar_Schoeck	10116.0
Aurelio de la Vega	1925	2022.0	Cuban			https://en.wikipedia.org/wiki/Aurelio_de_la_Vega	10115.0
Madeleine Dring	1923	1977.0	English			https://en.wikipedia.org/wiki/Madeleine_Dring	10100.0
Kalevi Aho	1949		Finnish			https://en.wikipedia.org/wiki/Kalevi_Aho	10074.0
Julia Perry	1924	1979.0	American			https://en.wikipedia.org/wiki/Julia_Perry	10014.0
Charles Tournemire	1870	1939.0	French	L'Orgue Mystique		https://en.wikipedia.org/wiki/Charles_Tournemire	10002.0
Joseph Marx	1882	1964.0	Austrian		vocal music	https://en.wikipedia.org/wiki/Joseph_Marx	9996.0
Henry Fillmore	1881	1956.0	American		marches	https://en.wikipedia.org/wiki/Henry_Fillmore	9991.0
Gara Garayev	1918	1982.0	Azerbaijani			https://en.wikipedia.org/wiki/Gara_Garayev	9990.0
Sylvano Bussotti	1931	2021.0	Italian			https://en.wikipedia.org/wiki/Sylvano_Bussotti	9982.0
Ellen Taaffe Zwilich	1939		American		neoromanticism	https://en.wikipedia.org/wiki/Ellen_Taaffe_Zwilich	9961.0
Jenő Hubay	1858	1937.0	Hungarian			https://en.wikipedia.org/wiki/Jen%C5%91_Hubay	9933.0
Franco Alfano	1875	1954.0	Italian			https://en.wikipedia.org/wiki/Franco_Alfano	9930.0
Pancho Vladigerov	1899	1978.0	Bulgarian	4 piano concertos	folk-influenced	https://en.wikipedia.org/wiki/Pancho_Vladigerov	9905.0
Emil von Sauer	1862	1942.0	German			https://en.wikipedia.org/wiki/Emil_von_Sauer	9873.0
Gaspar Cassadó	1897	1966.0	Spanish	Toccata,Requiebros		https://en.wikipedia.org/wiki/Gaspar_Cassad%C3%B3	9803.0
Arthur Foote	1853	1937.0	American		Romanticism	https://en.wikipedia.org/wiki/Arthur_Foote	9800.0
Lorenzo Perosi	1872	1956.0	Italian	Il Giudizio Universale(oratorio)	historicist	https://en.wikipedia.org/wiki/Lorenzo_Perosi	9770.0
Günter Wand	1912	2002.0	German			https://en.wikipedia.org/wiki/G%C3%BCnter_Wand	9763.0
