Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Elie Siegmeister	1909	1991.0	American	9 operas[vague]; 8 symphonies[vague];Western Suite		https://en.wikipedia.org/wiki/Elie_Siegmeister	5123.0	https://imslp.org/wiki/Category:Siegmeister,_Elie	False
Ferdinand Küchler	1867	1937.0	German			https://en.wikipedia.org/wiki/Ferdinand_K%C3%BCchler	5102.0	https://imslp.org/wiki/Category:Küchler,_Ferdinand	True
Jani Christou	1926	1970.0	Greek	Mysterion,Praxis for 12	atonality, meta-serialism,[clarification needed]improvisation	https://en.wikipedia.org/wiki/Jani_Christou	5096.0	https://imslp.org/wiki/Category:Christou,_Jani	False
Miguel del Águila	1957		Uruguayan-American	Concierto en Tango, Conga, Salon Buenos Aires, Violin Concerto, Wind Quintet No. 2		https://en.wikipedia.org/wiki/Miguel_del_%C3%81guila	5096.0	https://imslp.org/wiki/Category:Águila,_Miguel_del	False
Tale Ognenovski	1922	2012.0	Macedonian			https://en.wikipedia.org/wiki/Tale_Ognenovski	5069.0	https://imslp.org/wiki/Category:Ognenovski,_Tale	False
Ricardo Castro	1864	1907.0	Mexican			https://en.wikipedia.org/wiki/Ricardo_Castro	5065.0	https://imslp.org/wiki/Category:Castro,_Ricardo	True
Bernard Rands	1934		English			https://en.wikipedia.org/wiki/Bernard_Rands	5065.0	https://imslp.org/wiki/Category:Rands,_Bernard	False
Naji Hakim	1955		Lebanese-French			https://en.wikipedia.org/wiki/Naji_Hakim	5059.0	https://imslp.org/wiki/Category:Hakim,_Naji	False
Eva Jessye	1895	1992.0	American			https://en.wikipedia.org/wiki/Eva_Jessye	5056.0	https://imslp.org/wiki/Category:Jessye,_Eva	False
Nikolai Obukhov	1892	1954.0	Russian			https://en.wikipedia.org/wiki/Nikolai_Obukhov	5052.0	https://imslp.org/wiki/Category:Obukhov,_Nikolai	False
Emma Lou Diemer	1927		American			https://en.wikipedia.org/wiki/Emma_Lou_Diemer	5050.0	https://imslp.org/wiki/Category:Diemer,_Emma_Lou	False
Alo Mattiisen	1961	1996.0	Estonian			https://en.wikipedia.org/wiki/Alo_Mattiisen	5047.0	https://imslp.org/wiki/Category:Mattiisen,_Alo	False
Josef Labor	1842	1924.0	Czech			https://en.wikipedia.org/wiki/Josef_Labor	5037.0	https://imslp.org/wiki/Category:Labor,_Josef	True
Gloria Coates	1938		American	Music on Open Strings		https://en.wikipedia.org/wiki/Gloria_Coates	5032.0	https://imslp.org/wiki/Category:Coates,_Gloria	False
Alphonse Hasselmans	1845	1912.0	Belgian-born French			https://en.wikipedia.org/wiki/Alphonse_Hasselmans	5013.0	https://imslp.org/wiki/Category:Hasselmans,_Alphonse	True
Chen Gang	1935		Chinese	Butterfly Lovers' Violin Concerto(collaboration with He Zhanhao)		https://en.wikipedia.org/wiki/Chen_Gang_(composer)	5011.0	https://imslp.org/wiki/Category:Gang,_Chen	False
